judet,localitate,strada,zip
Bucureşti,Bucureşti,Stradă Academiei,010011
Bucureşti,Bucureşti,Stradă Academiei,010012
Bucureşti,Bucureşti,Stradă Academiei,010013
Bucureşti,Bucureşti,Stradă Academiei,010014
Bucureşti,Bucureşti,Stradă Academiei,010015
Bucureşti,Bucureşti,Stradă Academiei,010016
Bucureşti,Bucureşti,Stradă Edgar Quinet,010017
Bucureşti,Bucureşti,Stradă Edgar Quinet,010018
Bucureşti,Bucureşti,Stradă Biserica Enei,010019
Bucureşti,Bucureşti,Pasaj Comedia,010021
Bucureşti,Bucureşti,Pasaj Majestic,010022
Bucureşti,Bucureşti,Pasaj Victoriei,010023
Bucureşti,Bucureşti,Stradă Popisteanu Cristian,010024
Bucureşti,Bucureşti,Stradă Dobrescu I. Demetru,010025
Bucureşti,Bucureşti,Stradă Dobrescu I. Demetru,010026
Bucureşti,Bucureşti,Stradă Boteanu,010027
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010031
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010032
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010033
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010034
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010035
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010036
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010037
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010038
Bucureşti,Bucureşti,Stradă Câmpineanu Ion,010039
Bucureşti,Bucureşti,Bulevard Balcescu Nicolae,010041
Bucureşti,Bucureşti,Bulevard Balcescu Nicolae,010042
Bucureşti,Bucureşti,Bulevard Balcescu Nicolae,010043
Bucureşti,Bucureşti,Bulevard Balcescu Nicolae,010044
Bucureşti,Bucureşti,Bulevard Balcescu Nicolae,010045
Bucureşti,Bucureşti,Cale Victoriei,010061
Bucureşti,Bucureşti,Cale Victoriei,010062
Bucureşti,Bucureşti,Cale Victoriei,010063
Bucureşti,Bucureşti,Cale Victoriei,010064
Bucureşti,Bucureşti,Cale Victoriei,010065
Bucureşti,Bucureşti,Cale Victoriei,010066
Bucureşti,Bucureşti,Cale Victoriei,010067
Bucureşti,Bucureşti,Cale Victoriei,010068
Bucureşti,Bucureşti,Cale Victoriei,010069
Bucureşti,Bucureşti,Cale Victoriei,010081
Bucureşti,Bucureşti,Cale Victoriei,010082
Bucureşti,Bucureşti,Cale Victoriei,010083
Bucureşti,Bucureşti,Cale Victoriei,010084
Bucureşti,Bucureşti,Cale Victoriei,010085
Bucureşti,Bucureşti,Piata Revolutiei,010086
Bucureşti,Bucureşti,Stradă Stirbei Voda,010101
Bucureşti,Bucureşti,Stradă Stirbei Voda,010102
Bucureşti,Bucureşti,Stradă Stirbei Voda,010103
Bucureşti,Bucureşti,Stradă Stirbei Voda,010104
Bucureşti,Bucureşti,Stradă Stirbei Voda,010105
Bucureşti,Bucureşti,Stradă Stirbei Voda,010106
Bucureşti,Bucureşti,Stradă Stirbei Voda,010107
